TRAM,Rang,geometry_wkt
T07531Y,20-25 µg/m³,"MULTILINESTRING ((2.1049525831545104 41.38953729322294, 2.104859627752423 41.38954304702552, 2.1047785466255857 41.38953156264064, 2.104710982745777 41.38950863568329, 2.104648473302155 41.389472993367654, 2.104579190320792 41.38942715589913, 2.1044609008360577 41.38929605057043, 2.104300423829585 41.38913370321578))"
T16582K,25-30 µg/m³,"MULTILINESTRING ((2.1746538893888494 41.38056324826075, 2.174853895388212 41.38040996809927))"
T17601A,20-25 µg/m³,"MULTILINESTRING ((2.2074466842865874 41.39845925133448, 2.207831459641153 41.398822199588814, 2.208022838819462 41.39899966695487))"
T13813U,15-20 µg/m³,"MULTILINESTRING ((2.0896025349486345 41.42759697280143, 2.0893740221862926 41.427411684025174, 2.08933615500647 41.42729518854554, 2.089215748163877 41.42724451498937, 2.0886483172071837 41.4272573728662, 2.0886257932149372 41.427257410739976))"
T15618B,25-30 µg/m³,"MULTILINESTRING ((2.190857113075911 41.37947273860292, 2.1911132378689646 41.37884999993911))"
T09280G,20-25 µg/m³,"MULTILINESTRING ((2.2034573862049918 41.40290280279176, 2.203299688652185 41.40300245181918))"
T03795E,25-30 µg/m³,"MULTILINESTRING ((2.1363091152412403 41.35843244933894, 2.1356966368268586 41.35930779365934))"
T05113C,20-25 µg/m³,"MULTILINESTRING ((2.1590105096590246 41.42678070690734, 2.158691428087494 41.426668196512324))"
T15784O,20-25 µg/m³,"MULTILINESTRING ((2.1749778053022295 41.398032109196066, 2.1754309458004246 41.39771000371251))"
T17159D,20-25 µg/m³,"MULTILINESTRING ((2.1963908632687876 41.41754588498364, 2.1960124666152856 41.41784148128478, 2.1958890194441247 41.41775154423388, 2.195543356366233 41.41800463606162, 2.1956668035283236 41.41809457347952, 2.195265320659696 41.418391852544914))"
T06081P,20-25 µg/m³,"MULTILINESTRING ((2.1882789798121514 41.428991772324444, 2.188366415264488 41.42860935524844))"
